Singer,Song
Taylor Swift,Anti-Hero
Taylor Swift,Lavender Haze
Taylor Swift,Maroon
Taylor Swift Featuring Lana Del Rey,Snow On The Beach
Taylor Swift,Midnight Rain
Taylor Swift,Bejeweled
Taylor Swift,Question...?
Taylor Swift,"You're On Your Own, Kid"
Taylor Swift,Karma
Taylor Swift,Vigilante Shit
Sam Smith & Kim Petras,Unholy
Steve Lacy,Bad Habit
Taylor Swift,Mastermind
Taylor Swift,Labyrinth
Taylor Swift,Sweet Nothing
Harry Styles,As It Was
Post Malone Featuring Doja Cat,I Like You (A Happier Song)
OneRepublic,I Ain't Worried
Morgan Wallen,You Proof
Taylor Swift,"Would've, Could've, Should've"
Taylor Swift,Bigger Than The Whole Sky
Nicki Minaj,Super Freaky Girl
Nicky Youre & dazy,Sunroof
David Guetta & Bebe Rexha,I'm Good (Blue)
Chris Brown,Under The Influence
Taylor Swift,The Great War
Doja Cat,Vegas
Zach Bryan,Something In The Orange
Morgan Wallen,Wasted On You
Drake Featuring 21 Savage,Jimmy Cooks
Future Featuring Drake & Tems,Wait For U
Taylor Swift,Paris
Taylor Swift,High Infidelity
GloRilla & Cardi B,Tomorrow 2
Bad Bunny,Titi Me Pregunto
Lizzo,About Damn Time
Luke Combs,The Kind Of Love We Make
Harry Styles,Late Night Talking
Beyonce,Cuff It
Cole Swindell,She Had Me At Heads Carolina
Taylor Swift,Glitch
Bad Bunny & Chencho Corleone,Me Porto Bonito
The Weeknd,Die For You
Lil Baby,California Breeze
Taylor Swift,Dear Reader
Lil Baby Featuring Fridayy,Forever
Elton John & Britney Spears,Hold Me Closer
Lil Uzi Vert,Just Wanna Rock
Tyler Hubbard,5 Foot 9
Sia,Unstoppable
Kane Brown With Katelyn Brown,Thank God
Bailey Zimmerman,Fall In Love
Bailey Zimmerman,Rock And A Hard Place
JVKE,Golden Hour
Lil Baby,Heyy
Thomas Rhett Featuring Riley Green,Half Of Me
Stephen Sanchez,Until I Found You
Jax,Victoria’s Secret
Jelly Roll,Son Of A Sinner
Lil Nas X,Star Walkin' (League Of Legends Worlds Anthem)
d4vd,Romantic Homicide
Jordan Davis,What My World Spins Around
Lil Baby,Real Spill
Jackson Dean,Don't Come Lookin'
Shakira + Ozuna,Monotonia
Lil Baby,Stand On It
Lil Baby & Young Thug,Never Hating
Ingrid Andress With Sam Hunt,Wishful Drinking
Grupo Frontera,No Se Va
Tems,Free Mind
Lil Baby,Not Finished
Harry Styles,Music For A Sushi Restaurant
Lil Baby & Nardo Wick,Pop Out
DJ Khaled Featuring Drake & Lil Baby,Staying Alive
Lil Yachty,Poland
Nate Smith,Whiskey On You
Armani White,Billie Eilish.
Yung Gravy,Betty (Get Money)
Lizzo,2 Be Loved (Am I Ready)
HARDY Featuring Lainey Wilson,Wait In The Truck
Brent Faiyaz,All Mine
Manuel Turizo,La Bachata
Burna Boy,Last Last
Joji,Glimpse Of Us
Lil Baby,Freestyle
Rema & Selena Gomez,Calm Down
Karol G x Maldy,Gatubela
Omar Apollo,Evergreen
Gabby Barrett,Pick Me Up
Diddy & Bryson Tiller,Gotta Move On
Lil Baby,Perfect Timing
Luke Bryan,Country On
Rosa Linn,Snap
Russell Dickerson & Jake Scott,She Likes It
Meghan Trainor,Made You Look
Steve Lacy,Dark Red
Lil Baby Featuring Future,From Now On
Lewis Capaldi,Forget Me
Oliver Tree & Robin Schulz,Miss You
Rosalia,Despecha
